Ruta;Nombre;Extension;LoTengo;Editorial;EstadoARG;EstadoJPN;UltimoTomoARG;UltimoTomoJPN;Siguiendo
Mangas/DNAngel/;D.N.Angel15;.jpg;No;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DeadmanWonderland/;DeadmanWonderland01;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland02;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland03;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland04;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland05;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland06;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland07;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland08;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland09;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland10;.jpg;Si;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland11;.jpg;No;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland12;.jpg;No;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeadmanWonderland/;DeadmanWonderland13;.jpg;No;Ivrea;Terminada;Terminada;13;13;No
Mangas/DeathNote/;DeathNote01;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote02;.jpg;Si;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote03;.jpg;Si;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote04;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote05;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote06;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote07;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote08;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote09;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote10;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote11;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNote12;.jpg;No;Larp;Terminada;Terminada;12;12;No
Mangas/DeathNote/;DeathNoteHow;.jpg;No;Larp;TomoUnico;TomoUnico;1;1;No
Mangas/Erased/;Erased01;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/Erased/;Erased02;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/Erased/;Erased03;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/Erased/;Erased04;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/Erased/;Erased05;.jpg;Si;Ivrea;Terminada;Terminada;8;8;Si
Mangas/Erased/;Erased06;.jpg;No;Ivrea;Terminada;Terminada;8;8;Si
Mangas/Erased/;Erased07;.jpg;No;Ivrea;Terminada;Terminada;8;8;Si
Mangas/Erased/;Erased08;.jpg;No;Ivrea;Terminada;Terminada;8;8;Si
Mangas/Erased/;ErasedRe;.jpg;No;Ivrea;TomoUnico;TomoUnico;1;1;Si
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros01;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros02;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros03;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros04;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros05;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros06;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros07;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
Mangas/EraseUnaVezNosotros/;EraseUnaVezNosotros08;.jpg;Si;Ivrea;Terminada;Terminada;16;16;No
